n,median_ape,p75_ape,p90_ape,median_signed_bias,mean_signed_bias,median_abs_error_aed,mape,project,estimator,n_properties,areas
5,13.12,22.22,23.89,13.12,14.67,12461.0,14.67,la residenza,A,1,Al Barsha South Fourth
5,14.42,22.02,22.49,14.42,14.76,13696.0,14.76,la residenza,B,1,Al Barsha South Fourth
5,14.42,22.02,22.49,14.42,14.76,13696.0,14.76,la residenza,C,1,Al Barsha South Fourth
5,12.28,22.22,25.56,12.28,14.64,11420.0,14.64,la residenza,D,1,Al Barsha South Fourth
31,20.0,27.34,50.0,20.0,19.85,8600.0,21.35,laya mansion,A,2,Al Barsha South Fourth
31,12.52,19.15,58.12,7.43,14.84,5341.0,20.58,laya mansion,B,2,Al Barsha South Fourth
31,12.52,19.15,55.44,7.43,14.73,5341.0,20.46,laya mansion,C,2,Al Barsha South Fourth
31,19.05,26.08,50.0,19.05,18.12,8000.0,20.33,laya mansion,D,2,Al Barsha South Fourth
7006,20.0,36.02,53.08,1.35,1.76,23586.0,25.84,liv residence,A,4,Marsa Dubai
7006,24.22,41.8,60.33,11.25,11.43,27629.0,29.65,liv residence,B,4,Marsa Dubai
7006,24.43,42.38,61.6,12.17,12.39,28249.0,30.14,liv residence,C,4,Marsa Dubai
7006,20.0,35.76,53.03,0.59,1.51,23368.0,25.74,liv residence,D,4,Marsa Dubai
65,17.8,26.98,31.12,12.26,9.67,8500.0,18.24,luma21,A,2,Al Barsha South Fourth
65,15.08,34.75,53.03,14.58,16.53,8335.0,22.09,luma21,B,2,Al Barsha South Fourth
65,15.08,34.75,53.03,14.58,16.5,8335.0,22.06,luma21,C,2,Al Barsha South Fourth
65,17.78,26.74,31.11,11.54,8.92,8000.0,17.76,luma21,D,2,Al Barsha South Fourth
69,14.29,26.67,33.33,7.27,6.72,10000.0,16.68,luma22,A,3,Al Barsha South Fourth
69,27.89,45.69,57.92,27.89,28.0,18929.0,30.49,luma22,B,3,Al Barsha South Fourth
69,28.54,46.83,57.92,28.54,28.1,18929.0,30.55,luma22,C,3,Al Barsha South Fourth
69,14.29,25.0,33.33,5.45,6.48,9000.0,16.55,luma22,D,3,Al Barsha South Fourth
1818,16.67,30.0,51.16,11.07,14.3,10000.0,22.26,mama residences,A,1,Business Bay
