property_id,project,area,qdrant_category,project_match_status,service_charge_status,production_eligible,failure_reason,mollak_project,mollak_community,location_parity,sc_rate_aed_sqft,sc_year,gf_rate,rf_rate,gt_rate,component_match,unit_size_sqft,annual_service_charge_aed,annual_rent_estimate_aed,income_after_service_charges_aed,master_current_price_aed,gross_rental_yield_pct,yield_after_service_charges_pct
3962,Q Gardens Boutique Residences,Arjan,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,850.0,,,,1096000,,
793,Westwood Grande Residences,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,412.0,,,,700000,,
8311,The Cape,Al Barari,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1380.0,,,,3400000,,
6163,Wellington Grand Villas,Meydan City,Villa,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,13007.0,,,,18400000,,
7640,Binghatti Luna,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,600.0,,,,826000,,
2989,Samana Sky Views,Dubai Production City,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,,,,,689000,,
1279,Marina Star,Dubai Marina,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,841.0,,,,2276190,,
6556,SOL Bay,Business Bay,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,972.0,,,,1818890,,
983,SOL Bay,Business Bay,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,491.0,,,,1100000,,
4545,The Cove,Dubai Creek Harbour,بنتهاوس,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,4620.0,,,,11500000,,
6141,Q Gardens Loft,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,385.0,,,,490000,,
7286,Binghatti Canal,Business Bay,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,491.0,,,,1300000,,
101,Golf Edge,Emaar South,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1181.0,,,,1730000,,
5203,Urban Oasis by Missoni,Business Bay,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,323.0,,,,958000,,
3830,The Paragon by IGO,Business Bay,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,2382.0,,,,4000000,,
7282,48 Parkside,Arjan,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1186.0,,,,1645790,,
7842,Azizi Feirouz,Al Furjan,Apartment,VERIFIED_NORMALIZED_EXACT,VERIFIED_CALCULABLE,True,,AZIZI. FEIROUZ,Al Furjan,True,12.11,2026.0,11.37,0.74,12.11,True,1008.0,12206.88,70560.0,58353.12,1020000,6.92,5.72
4905,Raffles The Palm Dubai,Palm Jumeirah,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,4607.0,,,,35500000,,
5981,Divine Elements,Dubai South,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,929.0,,,,1275000,,
6733,Divine Elements,Dubai South,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,,,,,980000,,
8220,The Palm Tower,Palm Jumeirah,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1054.0,,,,4500000,,
3706,Urban Oasis by Missoni,Business Bay,Penthouse,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1916.0,,,,4800000,,
6745,Urban Oasis by Missoni,Business Bay,Penthouse,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1916.0,,,,4800000,,
1068,Eleganz,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,951.0,,,,1560000,,
4209,4Direction Residence 1,Dubai Land Residence Complex,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1251.0,,,,1450000,,
4389,Binghatti Crest,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,618.0,,,,905000,,
4252,Emerge Residences,Meydan City,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1036.0,,,,2580000,,
6235,The Palm Tower,Palm Jumeirah,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,524.0,,,,2200000,,
4524,Binghatti Twilight,Al Jadaf Waterfront,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,876.0,,,,1799000,,
5394,Vincitore Volare,Arjan,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,503.0,,,,668000,,
5497,Aura Residences,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,320.0,,,,675000,,
1459,Binghatti Royale,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,756.0,,,,1375000,,
7285,The Cove,Dubai Creek Harbour,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1338.0,,,,3000000,,
4046,Vincitore Volare,Arjan,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,727.0,,,,1000000,,
4997,Beverly Residence 2,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,740.0,,,,970000,,
6530,Empire Residences,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,996.0,,,,1300000,,
6747,Emerge Residences,Meydan City,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,3169.0,,,,6700000,,
3231,Harbour Gate,Dubai Creek Harbour,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,683.0,,,,1600000,,
5263,Oakley Square Residences,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,802.0,,,,1450000,,
7022,Park Town,Damac Hills,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1021.0,,,,1624000,,
884,Canal Residence West,Dubai Sports City,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,2334.0,,,,2334900,,
1727,Luma21,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,595.0,,,,1000000,,
5402,The Pad by Omniyat,Business Bay,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,648.0,,,,1550000,,
1745,Binghatti Crest,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1140.0,,,,1391000,,
4041,Azizi Lina,Jebel Ali,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,320.0,,,,601000,,
472,Binghatti Lavender,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,380.0,,,,715000,,
4263,Harbour Gate,Dubai Creek Harbour,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1202.0,,,,2650000,,
6327,Stax,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,677.0,,,,1044712,,
6435,Pantheon Elysee,Jumeirah village circle,Apartment,VERIFIED_EXACT,VERIFIED_CALCULABLE,True,,PANTHEON ELYSEE,Jumeirah Village Circle,True,14.6,2025.0,13.07,1.53,14.6,True,763.0,11139.8,67200.0,56060.2,848999,7.92,6.6
735,Harbour Gate,Dubai Creek Harbour,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1640.0,,,,3650000,,
5081,Binghatti Crest,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1215.0,,,,1708000,,
4702,Canal Residence West,Dubai Sports City,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,559.0,,,,570000,,
3027,Binghatti Crescent,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,988.0,,,,1400000,,
7457,Binghatti Tulip,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,303.0,,,,680000,,
5612,Azizi Lina,Jebel Ali,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,653.0,,,,947000,,
432,Creek Beach Orchid,Dubai Creek Harbour,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,679.0,,,,1700000,,
4750,Canal Residence West,Dubai Sports City,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,931.0,,,,850000,,
5961,Vera Residences,Business Bay,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,908.0,,,,1700000,,
7727,Oakley Square Residences,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,507.0,,,,840000,,
3440,Royal Bay,Palm Jumeirah,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,791.0,,,,2000000,,
1976,Uniestate Prime Tower,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,451.0,,,,620000,,
