property_id,purchase_price_aed,official_dld_fee_status,official_dld_fee_aed,dld_buyer_share_pct,trustee_fee_status,trustee_fee_aed,title_deed_fee_status,title_deed_fee_aed,knowledge_fee_status,knowledge_fee_aed,innovation_fee_status,innovation_fee_aed,broker_purchase_status,developer_admin_status,acquisition_calculation_level,official_acquisition_fees_aed,known_acquisition_costs_aed,complete_acquisition_costs_aed,total_cash_invested_aed,missing_components
7792,660000.0,OFFICIAL_VERIFIED,13200.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,13470.0,13470.0,,,trustee_office_fee|broker_purchase_commission
7663,1922960.0,OFFICIAL_VERIFIED,38459.2,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,38729.2,38729.2,,,trustee_office_fee|broker_purchase_commission
2725,90000.0,OFFICIAL_VERIFIED,1800.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,2070.0,2070.0,,,trustee_office_fee|broker_purchase_commission
6540,1900000.0,OFFICIAL_VERIFIED,38000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,38270.0,38270.0,,,trustee_office_fee|broker_purchase_commission
93,807000.0,OFFICIAL_VERIFIED,16140.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,16410.0,16410.0,,,trustee_office_fee|broker_purchase_commission
6277,1300000.0,OFFICIAL_VERIFIED,26000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,26270.0,26270.0,,,trustee_office_fee|broker_purchase_commission
6430,1300000.0,OFFICIAL_VERIFIED,26000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,26270.0,26270.0,,,trustee_office_fee|broker_purchase_commission
1620,7462760.0,OFFICIAL_VERIFIED,149255.2,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,149525.2,149525.2,,,trustee_office_fee|broker_purchase_commission
5252,12400000.0,OFFICIAL_VERIFIED,248000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,248270.0,248270.0,,,trustee_office_fee|broker_purchase_commission
422,2500000.0,OFFICIAL_VERIFIED,50000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,50270.0,50270.0,,,trustee_office_fee|broker_purchase_commission
