property_id,unit_status,purchase_price_available,current_price_aed,annual_rent_available,annual_rent_estimate_aed,sc_eligible,sc_annual_available,income_after_sc_available,net_rental_income_available,acquisition_fee_available,broker_purchase_cost_available,holding_period_available,exit_value_available,selling_cost_available,full_roi_calculable,missing_inputs
3282,Offplan,YES,2151777.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
494,Offplan,YES,24000000.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
1895,Offplan,YES,4800000.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
1250,Offplan,YES,2966890.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
2211,Offplan,YES,3079100.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
4403,Offplan,YES,3800000.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
8077,Offplan,YES,872000.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
1913,Ready,YES,2500000.0,YES,163200.0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
601,Ready,YES,1950000.0,YES,72000.0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
2567,Offplan,YES,4301090.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
5361,Offplan,YES,1610000.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
2842,Ready,YES,10828238.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
1111,Ready,YES,843000.0,YES,92160.0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
5817,Offplan,YES,1167600.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
5286,Offplan,YES,1899880.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
314,Offplan,YES,1500000.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
6815,Offplan,YES,1900000.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
169,Offplan,YES,1667530.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
5113,Ready,YES,3465820.0,YES,165600.0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
573,Offplan,YES,1904110.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
1637,Ready,YES,1400000.0,YES,57600.0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
1652,Ready,YES,1908480.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
